del_date,he,system_demand
2018-01-06T00:00:00.000Z,7,9334
2018-01-06T00:00:00.000Z,8,9624
2018-01-06T00:00:00.000Z,9,9848
2018-01-06T00:00:00.000Z,10,9925
2018-01-06T00:00:00.000Z,11,9960
2018-01-06T00:00:00.000Z,12,10029
2018-01-06T00:00:00.000Z,13,10046
2018-01-06T00:00:00.000Z,14,10012
2018-01-06T00:00:00.000Z,15,9957
2018-01-06T00:00:00.000Z,16,9994
2018-01-06T00:00:00.000Z,17,10198
2018-01-06T00:00:00.000Z,18,10596
2018-01-06T00:00:00.000Z,19,10516
2018-01-06T00:00:00.000Z,20,10375
2018-01-06T00:00:00.000Z,21,10219
2018-01-06T00:00:00.000Z,22,10057
2018-01-06T00:00:00.000Z,23,9856
2018-01-06T00:00:00.000Z,24,9577
2018-01-07T00:00:00.000Z,1,9375
2018-01-07T00:00:00.000Z,2,9212
2018-01-07T00:00:00.000Z,3,9138
2018-01-07T00:00:00.000Z,4,9112
2018-01-07T00:00:00.000Z,5,9135
2018-01-07T00:00:00.000Z,6,9155
2018-01-07T00:00:00.000Z,7,9270
2018-01-07T00:00:00.000Z,8,9453
2018-01-07T00:00:00.000Z,9,9655
2018-01-07T00:00:00.000Z,10,9756
2018-01-07T00:00:00.000Z,11,9833
2018-01-07T00:00:00.000Z,12,9908
2018-01-07T00:00:00.000Z,13,9931
2018-01-07T00:00:00.000Z,14,10001
2018-01-07T00:00:00.000Z,15,10019
2018-01-07T00:00:00.000Z,16,10097
2018-01-07T00:00:00.000Z,17,10369
2018-01-07T00:00:00.000Z,18,10774
2018-01-07T00:00:00.000Z,19,10625
2018-01-07T00:00:00.000Z,20,10529
2018-01-07T00:00:00.000Z,21,10389
2018-01-07T00:00:00.000Z,22,10204
2018-01-07T00:00:00.000Z,23,9865
2018-01-07T00:00:00.000Z,24,9534
2018-01-08T00:00:00.000Z,1,9352
2018-01-08T00:00:00.000Z,2,9261
2018-01-08T00:00:00.000Z,3,9219
2018-01-08T00:00:00.000Z,4,9212
2018-01-08T00:00:00.000Z,5,9264
2018-01-08T00:00:00.000Z,6,9460
2018-01-08T00:00:00.000Z,7,9951
2018-01-08T00:00:00.000Z,8,10463
2018-01-08T00:00:00.000Z,9,10638
2018-01-08T00:00:00.000Z,10,10575
2018-01-08T00:00:00.000Z,11,10625
2018-01-08T00:00:00.000Z,12,10664
2018-01-08T00:00:00.000Z,13,10646
2018-01-08T00:00:00.000Z,14,10685
2018-01-08T00:00:00.000Z,15,10631
2018-01-08T00:00:00.000Z,16,10686
2018-01-08T00:00:00.000Z,17,10953
2018-01-08T00:00:00.000Z,18,11225
2018-01-08T00:00:00.000Z,19,11052
2018-01-08T00:00:00.000Z,20,10914
2018-01-08T00:00:00.000Z,21,10732
2018-01-08T00:00:00.000Z,22,10497
2018-01-08T00:00:00.000Z,23,10136
2018-01-08T00:00:00.000Z,24,9801
2018-01-09T00:00:00.000Z,1,9577
2018-01-09T00:00:00.000Z,2,9455
2018-01-09T00:00:00.000Z,3,9422
2018-01-09T00:00:00.000Z,4,9429
2018-01-09T00:00:00.000Z,5,9467
2018-01-09T00:00:00.000Z,6,9637
2018-01-09T00:00:00.000Z,7,10047
2018-01-09T00:00:00.000Z,8,10569
2018-01-09T00:00:00.000Z,9,10769
2018-01-09T00:00:00.000Z,10,10789
2018-01-09T00:00:00.000Z,11,10811
2018-01-09T00:00:00.000Z,12,10894
2018-01-09T00:00:00.000Z,13,10891
2018-01-09T00:00:00.000Z,14,10873
2018-01-09T00:00:00.000Z,15,10891
2018-01-09T00:00:00.000Z,16,11040
2018-01-09T00:00:00.000Z,17,11203
2018-01-09T00:00:00.000Z,18,11522
2018-01-09T00:00:00.000Z,19,11510
2018-01-09T00:00:00.000Z,20,11420
2018-01-09T00:00:00.000Z,21,11310
2018-01-09T00:00:00.000Z,22,11037
2018-01-09T00:00:00.000Z,23,10709
2018-01-09T00:00:00.000Z,24,10390
2018-01-10T00:00:00.000Z,1,10215
2018-01-10T00:00:00.000Z,2,10138
2018-01-10T00:00:00.000Z,3,10115
2018-01-10T00:00:00.000Z,4,10122
2018-01-10T00:00:00.000Z,5,10147
2018-01-10T00:00:00.000Z,6,10324
2018-01-10T00:00:00.000Z,7,10681
2018-01-10T00:00:00.000Z,8,11182
2018-01-10T00:00:00.000Z,9,11344
2018-01-10T00:00:00.000Z,10,11257
2018-01-10T00:00:00.000Z,11,11272
2018-01-10T00:00:00.000Z,12,11308
2018-01-10T00:00:00.000Z,13,11217
2018-01-10T00:00:00.000Z,14,11196
2018-01-10T00:00:00.000Z,15,11159
2018-01-10T00:00:00.000Z,16,11246
2018-01-10T00:00:00.000Z,17,11323
2018-01-10T00:00:00.000Z,18,11557
2018-01-10T00:00:00.000Z,19,11430
2018-01-10T00:00:00.000Z,20,11343
2018-01-10T00:00:00.000Z,21,11279
2018-01-10T00:00:00.000Z,22,11072
2018-01-10T00:00:00.000Z,23,10718
2018-01-10T00:00:00.000Z,24,10423
2018-01-11T00:00:00.000Z,1,10233
2018-01-11T00:00:00.000Z,2,10141
2018-01-11T00:00:00.000Z,3,10114
2018-01-11T00:00:00.000Z,4,10104
2018-01-11T00:00:00.000Z,5,10188
2018-01-11T00:00:00.000Z,6,10378
2018-01-11T00:00:00.000Z,7,10740
2018-01-11T00:00:00.000Z,8,11202
2018-01-11T00:00:00.000Z,9,11406
2018-01-11T00:00:00.000Z,10,11361
2018-01-11T00:00:00.000Z,11,11394
2018-01-11T00:00:00.000Z,12,11364
2018-01-11T00:00:00.000Z,13,11314
2018-01-11T00:00:00.000Z,14,11294
2018-01-11T00:00:00.000Z,15,11339
2018-01-11T00:00:00.000Z,16,11374
2018-01-11T00:00:00.000Z,17,11499
2018-01-11T00:00:00.000Z,18,11697
2018-01-11T00:00:00.000Z,19,11621
2018-01-11T00:00:00.000Z,20,11527
2018-01-11T00:00:00.000Z,21,11382
2018-01-11T00:00:00.000Z,22,11104
2018-01-11T00:00:00.000Z,23,10776
2018-01-11T00:00:00.000Z,24,10521
2018-01-12T00:00:00.000Z,1,10302
2018-01-12T00:00:00.000Z,2,10085
2018-01-12T00:00:00.000Z,3,9954
2018-01-12T00:00:00.000Z,4,9911
2018-01-12T00:00:00.000Z,5,9979
2018-01-12T00:00:00.000Z,6,10233
2018-01-12T00:00:00.000Z,7,10716
2018-01-12T00:00:00.000Z,8,11190
2018-01-12T00:00:00.000Z,9,11264
2018-01-12T00:00:00.000Z,10,11179
2018-01-12T00:00:00.000Z,11,11129
2018-01-12T00:00:00.000Z,12,11118
2018-01-12T00:00:00.000Z,13,11100
2018-01-12T00:00:00.000Z,14,10971
2018-01-12T00:00:00.000Z,15,10994
2018-01-12T00:00:00.000Z,16,11059
2018-01-12T00:00:00.000Z,17,11116
2018-01-12T00:00:00.000Z,18,11344
2018-01-12T00:00:00.000Z,19,11202
2018-01-12T00:00:00.000Z,20,11175
2018-01-12T00:00:00.000Z,21,11060
2018-01-12T00:00:00.000Z,22,10822
2018-01-12T00:00:00.000Z,23,10514
2018-01-12T00:00:00.000Z,24,10147
2018-01-13T00:00:00.000Z,1,9908
2018-01-13T00:00:00.000Z,2,9759
2018-01-13T00:00:00.000Z,3,9687
2018-01-13T00:00:00.000Z,4,9625
2018-01-13T00:00:00.000Z,5,9641
2018-01-13T00:00:00.000Z,6,9636
2018-01-13T00:00:00.000Z,7,9754
2018-01-13T00:00:00.000Z,8,9996
2018-01-13T00:00:00.000Z,9,10274
2018-01-13T00:00:00.000Z,10,10418
2018-01-13T00:00:00.000Z,11,10457
2018-01-13T00:00:00.000Z,12,10436
2018-01-13T00:00:00.000Z,13,10397
2018-01-13T00:00:00.000Z,14,10291
2018-01-13T00:00:00.000Z,15,10236
2018-01-13T00:00:00.000Z,16,10248
2018-01-13T00:00:00.000Z,17,10448
2018-01-13T00:00:00.000Z,18,10815
2018-01-13T00:00:00.000Z,19,10696
2018-01-13T00:00:00.000Z,20,10561
2018-01-13T00:00:00.000Z,21,10431
2018-01-13T00:00:00.000Z,22,10210
2018-01-13T00:00:00.000Z,23,9976
2018-01-13T00:00:00.000Z,24,9725
2018-01-14T00:00:00.000Z,1,9467
2018-01-14T00:00:00.000Z,2,9352
2018-01-14T00:00:00.000Z,3,9245
2018-01-14T00:00:00.000Z,4,9192
2018-01-14T00:00:00.000Z,5,9240
2018-01-14T00:00:00.000Z,6,9271
2018-01-14T00:00:00.000Z,7,9404
2018-01-14T00:00:00.000Z,8,9583
2018-01-14T00:00:00.000Z,9,9819
2018-01-14T00:00:00.000Z,10,9923
2018-01-14T00:00:00.000Z,11,10073
2018-01-14T00:00:00.000Z,12,10172
2018-01-14T00:00:00.000Z,13,10221
2018-01-14T00:00:00.000Z,14,10228
2018-01-14T00:00:00.000Z,15,10245
2018-01-14T00:00:00.000Z,16,10323
2018-01-14T00:00:00.000Z,17,10542
2018-01-14T00:00:00.000Z,18,11022
2018-01-14T00:00:00.000Z,19,10995
2018-01-14T00:00:00.000Z,20,10912
2018-01-14T00:00:00.000Z,21,10681
2018-01-14T00:00:00.000Z,22,10475
2018-01-14T00:00:00.000Z,23,10264
2018-01-14T00:00:00.000Z,24,9971
2018-01-15T00:00:00.000Z,1,9690
2018-01-15T00:00:00.000Z,2,9608
2018-01-15T00:00:00.000Z,3,9577
2018-01-15T00:00:00.000Z,4,9563
2018-01-15T00:00:00.000Z,5,9669
2018-01-15T00:00:00.000Z,6,9884
2018-01-15T00:00:00.000Z,7,10326
2018-01-15T00:00:00.000Z,8,10863
2018-01-15T00:00:00.000Z,9,10990
2018-01-15T00:00:00.000Z,10,10948
2018-01-15T00:00:00.000Z,11,10966
2018-01-15T00:00:00.000Z,12,10937
2018-01-15T00:00:00.000Z,13,10844
2018-01-15T00:00:00.000Z,14,10796
2018-01-15T00:00:00.000Z,15,10771
2018-01-15T00:00:00.000Z,16,10824
2018-01-15T00:00:00.000Z,17,11036
2018-01-15T00:00:00.000Z,18,11404
2018-01-15T00:00:00.000Z,19,11284
2018-01-15T00:00:00.000Z,20,11138
2018-01-15T00:00:00.000Z,21,10966
2018-01-15T00:00:00.000Z,22,10706
2018-01-15T00:00:00.000Z,23,10308
2018-01-15T00:00:00.000Z,24,9970
2018-01-16T00:00:00.000Z,1,9786
2018-01-16T00:00:00.000Z,2,9666
